Source IP;Target IP;Counter
147.31.122.1;172.16.255.1;87
172.16.255.1;75.76.39.18;1
75.76.39.18;172.16.255.1;1
172.16.255.1;69.255.24.214;1
69.255.24.214;172.16.255.1;1
172.16.255.1;67.163.123.10;1
67.163.123.10;172.16.255.1;1
172.16.255.1;74.75.251.207;1
74.75.251.207;172.16.255.1;1
172.16.255.1;128.173.201.171;1
128.173.201.171;172.16.255.1;1
172.16.255.1;239.255.255.250;16
172.16.255.1;172.16.0.1;10
172.16.255.1;194.165.188.79;12
172.16.255.1;67.82.196.121;1
172.16.255.1;188.231.175.85;1
67.82.196.121;172.16.255.1;1
172.16.255.1;188.2.252.64;5
172.16.255.1;67.117.28.180;5
172.16.255.1;190.213.192.39;1
172.16.255.1;67.9.27.118;1
67.117.28.180;172.16.255.1;5
172.16.255.1;190.39.220.172;1
172.16.255.1;67.84.192.140;1
188.231.175.85;172.16.255.1;1
67.9.27.118;172.16.255.1;1
67.84.192.140;172.16.255.1;1
188.2.252.64;172.16.255.1;5
172.16.255.1;213.166.51.4;2
194.165.188.79;172.16.255.1;10
172.16.255.1;194.165.188.76;11
172.16.255.1;212.8.166.36;26
10.0.2.15;192.168.3.90;12
192.168.3.90;10.0.2.15;14
172.16.255.1;204.9.163.184;13
172.16.255.1;174.48.244.28;3
172.16.255.1;194.171.12.150;3
172.16.255.1;87.5.175.49;3
174.48.244.28;172.16.255.1;3
194.171.12.150;172.16.255.1;3
172.16.255.1;208.88.186.244;2
87.5.175.49;172.16.255.1;3
208.88.186.244;172.16.255.1;2
172.16.255.1;209.105.148.72;1
172.16.255.1;178.25.111.25;2
172.16.255.1;95.68.58.110;1
172.16.255.1;124.144.10.123;1
172.16.255.1;190.213.76.21;1
172.16.255.1;71.67.132.22;1
172.16.255.1;130.206.167.238;1
172.16.255.1;217.174.56.245;2
172.16.255.1;65.35.35.4;2
172.16.255.1;87.64.66.227;2
172.16.255.1;79.143.161.140;2
172.16.255.1;92.247.222.20;6
172.16.255.1;182.166.37.160;2
172.16.255.1;218.166.122.86;2
172.16.255.1;88.198.13.111;2
172.16.255.1;89.34.75.134;2
172.16.255.1;92.255.161.104;2
172.16.255.1;71.67.129.20;2
209.105.148.72;172.16.255.1;1
71.67.129.20;172.16.255.1;2
65.35.35.4;172.16.255.1;2
71.67.132.22;172.16.255.1;1
124.144.10.123;172.16.255.1;1
182.166.37.160;172.16.255.1;2
190.213.76.21;172.16.255.1;1
172.16.255.1;87.121.79.141;2
88.198.13.111;172.16.255.1;2
95.68.58.110;172.16.255.1;1
217.174.56.245;172.16.255.1;2
89.34.75.134;172.16.255.1;2
92.255.161.104;172.16.255.1;2
130.206.167.238;172.16.255.1;1
87.64.66.227;172.16.255.1;2
218.166.122.86;172.16.255.1;2
178.25.111.25;172.16.255.1;2
79.143.161.140;172.16.255.1;2
87.121.79.141;172.16.255.1;2
72.14.213.103;192.168.3.131;48
192.168.3.131;72.14.213.103;48
194.165.188.76;172.16.255.1;7
212.8.166.36;172.16.255.1;27
192.168.3.131;72.14.213.132;23
72.14.213.132;192.168.3.131;37
204.9.163.184;172.16.255.1;11
172.16.255.1;130.117.72.100;170
130.117.72.100;172.16.255.1;354
172.16.255.1;204.9.163.181;63
204.9.163.181;172.16.255.1;81
172.16.255.1;95.86.252.198;2
172.16.255.1;24.193.140.50;1
95.86.252.198;172.16.255.1;2
172.16.255.1;88.203.161.148;1
24.193.140.50;172.16.255.1;1
88.203.161.148;172.16.255.1;1
172.16.255.1;212.8.163.80;17
172.16.255.1;208.88.186.242;1
208.88.186.242;172.16.255.1;1
10.0.2.15;10.0.2.3;30
10.0.2.3;10.0.2.15;30
10.0.2.15;65.54.186.19;42
10.0.2.15;64.4.9.254;16
65.54.186.19;10.0.2.15;66
64.4.9.254;10.0.2.15;18
10.0.2.15;65.54.189.173;86
65.54.189.173;10.0.2.15;126
172.16.255.1;95.160.236.51;2
172.16.255.1;114.46.144.25;1
172.16.255.1;213.19.120.150;1
172.16.255.1;118.6.206.252;4
172.16.255.1;184.85.226.161;195
114.46.144.25;172.16.255.1;1
184.85.226.161;172.16.255.1;222
213.19.120.150;172.16.255.1;1
172.16.255.1;66.235.143.184;15
172.16.255.1;111.249.130.107;1
66.235.143.184;172.16.255.1;9
172.16.255.1;128.241.90.211;51
128.241.90.211;172.16.255.1;72
111.249.130.107;172.16.255.1;1
10.0.2.15;207.46.96.145;58
207.46.96.145;10.0.2.15;96
10.0.2.15;207.46.125.253;8
207.46.125.253;10.0.2.15;6
10.0.2.15;207.46.125.254;6
10.0.2.15;10.0.2.2;20
10.0.2.2;10.0.2.15;20
207.46.125.254;10.0.2.15;6
95.160.236.51;172.16.255.1;1
10.0.2.15;65.55.15.244;48
65.55.15.244;10.0.2.15;60
118.6.206.252;172.16.255.1;2
172.16.255.1;173.178.118.29;1
172.16.255.1;70.80.140.19;1
172.16.255.1;76.167.181.32;1
76.167.181.32;172.16.255.1;1
70.80.140.19;172.16.255.1;1
173.178.118.29;172.16.255.1;1
172.16.255.1;109.227.83.14;1
10.0.2.15;198.104.200.146;10
198.104.200.146;10.0.2.15;6
109.227.83.14;172.16.255.1;1
10.0.2.15;207.46.105.186;12
172.16.255.1;66.209.190.84;3
207.46.105.186;10.0.2.15;8
172.16.255.1;93.181.202.185;1
93.181.202.185;172.16.255.1;1
172.16.255.1;109.173.29.34;37
172.16.255.1;109.255.178.86;7
172.16.255.1;82.226.125.157;1
172.16.255.1;71.10.26.41;1
172.16.255.1;213.64.95.196;1
71.10.26.41;172.16.255.1;1
172.16.255.1;99.96.126.9;1
213.64.95.196;172.16.255.1;1
82.226.125.157;172.16.255.1;1
109.173.29.34;172.16.255.1;29
99.96.126.9;172.16.255.1;1
109.255.178.86;172.16.255.1;8
172.16.255.1;67.215.65.132;37
67.215.65.132;172.16.255.1;23
172.16.255.1;207.47.250.146;1
172.16.255.1;207.172.53.166;2
172.16.255.1;111.250.201.8;1
207.47.250.146;172.16.255.1;1
172.16.255.1;194.192.199.252;22
207.172.53.166;172.16.255.1;2
111.250.201.8;172.16.255.1;1
194.192.199.252;172.16.255.1;36
172.16.255.1;204.194.237.136;20
204.194.237.136;172.16.255.1;17
172.16.255.1;95.139.1.252;2
172.16.255.1;109.227.83.224;36
212.8.163.80;172.16.255.1;3
95.139.1.252;172.16.255.1;2
172.16.255.1;24.78.140.118;2
172.16.255.1;82.58.187.140;1
24.78.140.118;172.16.255.1;2
109.227.83.224;172.16.255.1;28
172.16.255.1;190.164.247.173;1
190.164.247.173;172.16.255.1;1
82.58.187.140;172.16.255.1;1
172.16.255.1;94.248.101.181;1
10.0.2.15;207.46.113.78;52
172.16.255.1;188.246.82.7;1
207.46.113.78;10.0.2.15;56
94.248.101.181;172.16.255.1;1
172.16.255.1;80.221.22.161;1
188.246.82.7;172.16.255.1;1
172.16.255.1;114.33.52.13;1
172.16.255.1;92.224.118.42;2
172.16.255.1;114.46.199.16;2
172.16.255.1;212.50.66.122;1
80.221.22.161;172.16.255.1;1
114.46.199.16;172.16.255.1;2
114.33.52.13;172.16.255.1;1
10.0.2.15;65.55.116.184;20
212.50.66.122;172.16.255.1;1
65.55.116.184;10.0.2.15;20
10.0.2.15;91.103.140.2;24
172.16.255.1;186.80.218.34;2
91.103.140.2;10.0.2.15;22
186.80.218.34;172.16.255.1;2
172.16.255.1;110.67.111.103;1
110.67.111.103;172.16.255.1;1
172.16.255.1;218.173.246.133;1
172.16.255.1;125.232.97.116;1
218.173.246.133;172.16.255.1;1
125.232.97.116;172.16.255.1;1
172.16.255.1;145.120.22.109;2
145.120.22.109;172.16.255.1;2
172.16.255.1;134.2.48.153;1
172.16.255.1;24.192.137.36;1
92.224.118.42;172.16.255.1;1
24.192.137.36;172.16.255.1;1
172.16.255.1;204.9.163.160;9
172.16.255.1;189.126.44.128;1
172.16.255.1;84.197.9.59;1
10.0.2.15;96.17.8.49;18
96.17.8.49;10.0.2.15;24
134.2.48.153;172.16.255.1;1
172.16.255.1;67.170.187.174;1
67.170.187.174;172.16.255.1;1
84.197.9.59;172.16.255.1;1
172.16.255.1;145.94.52.184;1
172.16.255.1;98.243.160.202;1
189.126.44.128;172.16.255.1;1
98.243.160.202;172.16.255.1;1
172.16.255.1;85.65.191.56;3
172.16.255.1;94.41.86.170;1
145.94.52.184;172.16.255.1;1
94.41.86.170;172.16.255.1;1
10.0.2.15;65.54.167.27;60
65.54.167.27;10.0.2.15;104
172.16.255.1;129.132.232.116;2
129.132.232.116;172.16.255.1;2
172.16.255.1;109.229.25.126;10
109.229.25.126;172.16.255.1;8
172.16.255.1;70.67.177.253;2
70.67.177.253;172.16.255.1;2
172.16.255.1;148.88.200.63;3
172.16.255.1;109.90.123.126;10
109.90.123.126;172.16.255.1;8
172.16.255.1;2.120.66.172;1
2.120.66.172;172.16.255.1;1
172.16.255.1;213.146.189.205;13
213.146.189.205;172.16.255.1;11
192.168.3.131;76.74.140.168;17
76.74.140.168;192.168.3.131;14
10.0.2.15;64.4.35.57;32
64.4.35.57;10.0.2.15;36
172.16.255.1;97.103.179.155;1
97.103.179.155;172.16.255.1;1
10.0.2.15;70.37.129.34;54
70.37.129.34;10.0.2.15;64
10.0.2.15;70.37.129.32;20
70.37.129.32;10.0.2.15;24
192.168.3.131;72.14.213.120;8
72.14.213.120;192.168.3.131;9
192.168.3.131;72.14.213.149;4
72.14.213.149;192.168.3.131;4
192.168.3.131;65.54.95.149;16
65.54.95.149;192.168.3.131;25
192.168.3.131;72.14.213.148;13
72.14.213.148;192.168.3.131;24
10.0.2.15;10.0.2.255;2
192.168.3.131;195.27.155.40;2
195.27.155.40;192.168.3.131;1
172.16.255.1;10.1.1.2;9
66.209.190.254;172.16.255.1;2
192.168.3.131;192.168.3.90;10
192.168.3.90;192.168.3.131;6
192.168.3.131;192.168.3.99;8
192.168.3.99;192.168.3.131;8
172.16.255.1;24.54.5.14;1
24.54.5.14;172.16.255.1;1
192.168.3.131;208.50.77.73;12
192.168.3.131;208.50.77.136;4
208.50.77.73;192.168.3.131;6
208.50.77.136;192.168.3.131;2
192.168.3.131;192.168.3.255;8
192.168.3.131;204.14.234.101;20
204.14.234.101;192.168.3.131;14
192.168.3.131;204.14.234.85;740
204.14.234.85;192.168.3.131;1036
65.55.57.251;192.168.3.131;2
192.168.3.131;65.55.57.251;2
192.168.3.131;208.50.77.97;12
192.168.3.131;66.235.136.89;24
66.235.136.89;192.168.3.131;14
208.50.77.97;192.168.3.131;6
192.168.3.131;208.50.77.134;24
192.168.3.131;69.63.181.15;8
69.63.181.15;192.168.3.131;8
208.50.77.134;192.168.3.131;12
174.36.30.111;192.168.3.131;4
192.168.3.131;174.36.30.111;2
192.168.3.131;209.17.73.30;127
209.17.73.30;192.168.3.131;284
172.16.255.1;188.22.186.229;1
172.16.255.1;67.64.157.145;1
172.16.255.1;188.163.1.229;1
172.16.255.1;67.84.50.244;1
172.16.255.1;188.17.181.29;1
172.16.255.1;69.126.180.28;1
67.84.50.244;172.16.255.1;1
67.64.157.145;172.16.255.1;1
69.126.180.28;172.16.255.1;1
188.163.1.229;172.16.255.1;1
188.22.186.229;172.16.255.1;1
188.17.181.29;172.16.255.1;1
192.168.3.131;65.55.15.244;4
192.168.3.131;74.125.127.148;4
192.168.3.131;65.55.206.9;4
65.55.15.244;192.168.3.131;2
74.125.127.148;192.168.3.131;2
65.55.206.9;192.168.3.131;2
192.168.3.131;192.168.3.1;4
192.168.3.1;192.168.3.131;4
